ID,hit,evalue,#ID,Avg_fold,Length,Ref_GC,Covered_percent,Covered_bases,Plus_reads,Minus_reads,Read_GC,Median_fold,Std_Dev,summed reads,reads/per million (RPM),lenfth of gene in KB (K),RPKM,28535686
NODE_4_length_3440_cov_76.761080_1_3411_g8,20DD_Contig_5105,0.78,NODE_4_length_3440_cov_76.761080_1_3411_g8,208.6017,3138,0,100,3138,6526,5609,0.4471,111,281.13,12135,425.2569326,3.138,135.5184616,28.535686
NODE_5_length_3393_cov_32.458036_66_3393_g9,20DD_coca-20110131_6097,0.11,NODE_5_length_3393_cov_32.458036_66_3393_g9,80.148,1568,0,97.8954,1535,1208,1127,0.5085,63,66.55,2335,81.82735375,1.568,52.18581234,
NODE_7_length_3354_cov_65.078892_1_3231_g12,P450_9,0.084,NODE_7_length_3354_cov_65.078892_1_3231_g12,165.0487,2979,0,99.6979,2970,4996,4124,0.4551,89,177.66,9120,319.5997714,2.979,107.2842469,
NODE_8_length_3320_cov_113.282324_800_3241_g13,struc_arginine_decarboxylase_AEQ02349,0,NODE_8_length_3320_cov_113.282324_800_3241_g13,409.1924,2157,0,100,2157,8421,7949,0.4966,329,332.87,16370,573.6675721,2.157,265.9562226,
NODE_13_length_3050_cov_192.285051_258_3050_g22,P450_17,0.072,NODE_13_length_3050_cov_192.285051_258_3050_g22,509.5267,2677,0,99.9626,2676,13593,11688,0.4565,293,508.09,25281,885.943182,2.677,330.9462764,
NODE_14_length_3023_cov_39.221739_44_2093_g23,P450_33,9.00E-23,NODE_14_length_3023_cov_39.221739_44_2093_g23,123.5026,1512,0,100,1512,1986,1476,0.5048,86,107.17,3462,121.3217553,1.512,80.23925616,
NODE_16_length_2895_cov_40.532844_1_1296_g27,20DD_coca-20110131_10349,0.18,NODE_16_length_2895_cov_40.532844_1_1296_g27,56.7708,1261,0,99.9207,1260,750,576,0.4448,56,30.08,1326,46.46812465,1.261,36.85021781,
NODE_16_length_2895_cov_40.532844_1390_2895_g28,20DD_coca-20110131_10349,0.18,NODE_16_length_2895_cov_40.532844_1390_2895_g28,51.8573,1261,0,99.9207,1260,697,514,0.446,50,30.03,1211,42.43808368,1.261,33.65430902,
NODE_20_length_2777_cov_54.177843_52_2777_g33,EcAOF_candidate_7_coca-20110131_2982,0.07,NODE_20_length_2777_cov_54.177843_52_2777_g33,130.8471,2427,0,99.9176,2425,3260,2661,0.4529,66,147.92,5921,207.4945446,2.427,85.49424992,
NODE_24_length_2736_cov_27.535331_1_2592_g37,20DD_coca-20110131_27652,0.28,NODE_24_length_2736_cov_27.535331_1_2592_g37,71.1041,2364,0,99.9577,2363,1541,1587,0.4663,46,105.31,3128,109.6171146,2.364,46.3693378,
NODE_25_length_2726_cov_90.370962_1083_2631_g39,P450_36,3.00E-12,NODE_25_length_2726_cov_90.370962_1083_2631_g39,315.2981,1476,0,99.9322,1475,4641,3994,0.4984,272,201.69,8635,302.6035116,1.476,205.0159293,
NODE_29_length_2694_cov_166.225479_215_2451_g45,Polyketide_CsOAC_JN679224,0.77,NODE_29_length_2694_cov_166.225479_215_2451_g45,521.2279,1983,0,100,1983,10172,8997,0.4492,513,330.43,19169,671.7552651,1.983,338.7570676,
NODE_30_length_2684_cov_85.695587_30_2462_g46,Polyketide_NODE_17446_length_416_cov_17.443864,0.37,NODE_30_length_2684_cov_85.695587_30_2462_g46,220.5818,1839,0,99.8912,1837,4118,3400,0.4549,226,117.96,7518,263.4595484,1.839,143.2623972,
NODE_34_length_2577_cov_68.511006_233_2577_g50,P450_32,0.022,NODE_34_length_2577_cov_68.511006_233_2577_g50,202.6865,2172,0,99.3554,2158,4227,3933,0.4628,136,181.5,8160,285.9576902,2.172,131.6563951,
NODE_39_length_2488_cov_954.280652_161_1231_g56,P450_8,0.1,NODE_39_length_2488_cov_954.280652_161_1231_g56,1618.3356,873,0,100,873,14245,11946,0.5031,1326,799.66,26191,917.8330715,0.873,1051.355179,
NODE_39_length_2488_cov_954.280652_1326_2328_g57,P450_8,0.11,NODE_39_length_2488_cov_954.280652_1326_2328_g57,1391.944,822,0,100,822,11863,9347,0.4866,1245,641.72,21210,743.2797315,0.822,904.2332499,
NODE_41_length_2466_cov_186.365804_106_2421_g59,20DD_coca-20110131_27652,0.19,NODE_41_length_2466_cov_186.365804_106_2421_g59,529.8902,1995,0,99.599,1987,10920,8678,0.4682,298,654.21,19598,686.7890701,1.995,344.255173,
NODE_62_length_2330_cov_32.216369_1_2116_g82,20DD_coca-20110131_6097,0.017,NODE_62_length_2330_cov_32.216369_1_2116_g82,74.0179,2011,0,99.9503,2010,1700,1062,0.4627,34,95.93,2762,96.79107111,2.011,48.13081607,
NODE_69_length_2297_cov_33.449647_1_2297_g90,P450_18,0.17,NODE_69_length_2297_cov_33.449647_1_2297_g90,90.3238,1930,0,99.4819,1920,1693,1539,0.4461,62,83.26,3232,113.2616734,1.93,58.68480485,
NODE_70_length_2281_cov_103.194840_9_2192_g91,EcAOC_candidate_2_NODE_477_length_2287_cov_125.778616,0,NODE_70_length_2281_cov_103.194840_9_2192_g91,267.1997,1998,0,99.9499,1997,5525,4389,0.4671,168,243.98,9914,347.424576,1.998,173.8861742,
NODE_74_length_2246_cov_20.137370_1_1821_g95,P450_8,0.022,NODE_74_length_2246_cov_20.137370_1_1821_g95,60.1687,1488,0,100,1488,848,811,0.476,48,42.52,1659,58.13772157,1.488,39.07104944,
NODE_75_length_2239_cov_39.595195_83_2121_g96,P450_28,0.098,NODE_75_length_2239_cov_39.595195_83_2121_g96,99.0092,1854,0,99.9461,1853,2057,1344,0.4482,68,97.71,3401,119.1840814,1.854,64.28483355,
NODE_79_length_2217_cov_27.696429_1_2048_g100,20DD_coca-20110131_11584,0.009,NODE_79_length_2217_cov_27.696429_1_2048_g100,74.1354,1846,0,100,1846,1322,1214,0.4554,43,86.63,2536,88.8711645,1.846,48.14255932,
NODE_91_length_2174_cov_954.847806_1_2174_g113,struc_arginine_decarboxylase_AEQ02349,0,NODE_91_length_2174_cov_954.847806_1_2174_g113,3176.9609,1356,0,100,1356,46315,33973,0.5307,2098,3192.46,80288,2813.599391,1.356,2074.925804,
NODE_94_length_2158_cov_34.940706_83_2124_g116,P450_37,1.00E-24,NODE_94_length_2158_cov_34.940706_83_2124_g116,90.6406,1611,0,100,1611,1488,1220,0.4885,67,86.98,2708,94.89870404,1.611,58.90670642,
NODE_104_length_2131_cov_19.230696_32_1871_g126,20DD_coca-20110131_6396,0.076,NODE_104_length_2131_cov_19.230696_32_1871_g126,60.286,1374,0,99.9272,1373,802,735,0.4843,51,33.6,1537,53.86237375,1.374,39.20114538,
NODE_112_length_2109_cov_12.037572_1_2049_g134,P450_32,0.015,NODE_112_length_2109_cov_12.037572_1_2049_g134,28.9957,1861,0,100,1861,561,439,0.4305,20,26.95,1000,35.04383458,1.861,18.83064728,
NODE_120_length_2085_cov_250.111598_18_1191_g146,20DD_coca-20110131_13971,0,NODE_120_length_2085_cov_250.111598_18_1191_g146,1046.481,948,0,100,948,10553,7847,0.4758,835,736.29,18400,644.8065563,0.948,680.1756923,
NODE_130_length_2037_cov_27.285429_1_2009_g157,20DD_coca-20110131_3904,0.076,NODE_130_length_2037_cov_27.285429_1_2009_g157,65.7859,1878,0,100,1878,1291,1003,0.4474,45,61.19,2294,80.39055653,1.878,42.80647312,
NODE_138_length_2020_cov_18.341218_32_2020_g166,P450_33,0.18,NODE_138_length_2020_cov_18.341218_32_2020_g166,41.3855,1738,0,100,1738,727,606,0.4506,32,28.75,1333,46.7134315,1.738,26.87769361,
NODE_162_length_1981_cov_42.474333_1_1901_g190,P450_8,5.00E-24,NODE_162_length_1981_cov_42.474333_1_1901_g190,122.2529,1467,0,99.182,1455,1744,1581,0.4623,77,117.36,3325,116.52075,1.467,79.4279141,
NODE_170_length_1963_cov_293.136269_324_1963_g198,struc_arginine_decarboxylase_AEQ02349,0.016,NODE_170_length_1963_cov_293.136269_324_1963_g198,673.3145,1485,0,100,1485,10318,8219,0.4706,482,643.16,18537,649.6075616,1.485,437.4461694,
NODE_180_length_1948_cov_89.082507_202_1891_g209,struc_EcCHS,2.00E-13,NODE_180_length_1948_cov_89.082507_202_1891_g209,201.11,1491,0,98.7257,1472,3466,2088,0.4509,126,222.73,5554,194.6334573,1.491,130.5388714,
NODE_184_length_1942_cov_28.330016_66_1718_g214,20DD_Contig_8162,0.036,NODE_184_length_1942_cov_28.330016_66_1718_g214,81.7273,1401,0,98.9293,1386,1185,938,0.5345,67,53.55,2123,74.39806081,1.401,53.10354091,
NODE_187_length_1935_cov_59.243954_16_1786_g217,struc_EcCHS,3.00E-10,NODE_187_length_1935_cov_59.243954_16_1786_g217,165.1865,1566,0,99.3614,1556,2492,2303,0.467,136,108.46,4795,168.0351868,1.566,107.3021627,
NODE_189_length_1934_cov_20.130458_97_1881_g219,20DD_Contig_9617,0.27,NODE_189_length_1934_cov_20.130458_97_1881_g219,44.1592,1401,0,99.2862,1391,593,554,0.4712,36,28.49,1147,40.19527826,1.401,28.69041989,
NODE_192_length_1929_cov_23.582278_1_1741_g222,Polyketide_NODE_11256_length_732_cov_72.616595,0.22,NODE_192_length_1929_cov_23.582278_1_1741_g222,60.2967,1311,0,99.9237,1310,798,666,0.4411,50,37.83,1464,51.30417383,1.311,39.13361848,
NODE_195_length_1927_cov_34.595037_13_1861_g225,P450_11,0.051,NODE_195_length_1927_cov_34.595037_13_1861_g225,90.5319,1581,0,99.8735,1579,1166,1486,0.4767,67,72.29,2652,92.93624931,1.581,58.78320639,
NODE_210_length_1899_cov_39.774384_16_1586_g240,20DD_coca-20110131_7365,0.076,NODE_210_length_1899_cov_39.774384_16_1586_g240,102.415,1383,0,99.9277,1382,1661,962,0.4897,74,104.59,2623,91.9199781,1.383,66.46419241,
NODE_211_length_1897_cov_28.008584_24_1875_g241,struc_cocaine_synthase_AGT56097,0.021,NODE_211_length_1897_cov_28.008584_24_1875_g241,69.6084,1356,0,99.705,1352,945,804,0.467,55,58.19,1749,61.29166668,1.356,45.20034416,
NODE_212_length_1896_cov_20.970478_1_1821_g242,20DD_coca-20110131_3935,0.26,NODE_212_length_1896_cov_20.970478_1_1821_g242,52.9798,1437,0,99.3737,1428,745,665,0.5277,44,32,1410,49.41180676,1.437,34.38539092,
NODE_219_length_1888_cov_10.977358_1_1847_g249,EcAOF1_USDA_NODE_2268_length_1622_cov_42.446193,0.005,NODE_219_length_1888_cov_10.977358_1_1847_g249,32.9339,1725,0,100,1725,547,508,0.443,28,19.71,1055,36.97124548,1.725,21.43260608,
NODE_222_length_1882_cov_31.259600_66_1873_g252,20DD_ABK94665.1,0.11,NODE_222_length_1882_cov_31.259600_66_1873_g252,88.5328,1629,0,99.6931,1624,1297,1375,0.4584,49,92.44,2672,93.637126,1.629,57.4813542,
NODE_232_length_1861_cov_18.170678_1_1861_g263,EcAOF_candidate_8_coca-20110131_1438,0.12,NODE_232_length_1861_cov_18.170678_1_1861_g263,47.2032,1732,0,99.3649,1721,794,720,0.4281,36,36.76,1514,53.05636555,1.732,30.63300552,
NODE_237_length_1856_cov_26.108064_34_1820_g268,P450_30,0.15,NODE_237_length_1856_cov_26.108064_34_1820_g268,70.905,1548,0,99.4186,1539,1056,981,0.4511,68,37.13,2037,71.38429104,1.548,46.1138831,
NODE_242_length_1851_cov_45.445545_864_1851_g274,P450_24,0.022,NODE_242_length_1851_cov_45.445545_864_1851_g274,196.5915,803,0,100,803,1873,1051,0.4851,157,162.39,2924,102.4681723,0.803,127.6066903,
NODE_262_length_1827_cov_42.835006_39_1810_g296,P450_40,0,NODE_262_length_1827_cov_42.835006_39_1810_g296,139.4221,1578,0,100,1578,2122,1958,0.4748,118,86.6,4080,142.9788451,1.578,90.60763314,
NODE_268_length_1817_cov_22.497197_12_1761_g302,EcAOF1_USDA_NODE_2268_length_1622_cov_42.446193,0.085,NODE_268_length_1817_cov_22.497197_12_1761_g302,62.876,1500,0,99.2667,1489,940,808,0.4274,40,56.2,1748,61.25662285,1.5,40.83774856,
NODE_275_length_1809_cov_37.056869_23_1751_g310,20DD_coca-20110131_6396,0.11,NODE_275_length_1809_cov_37.056869_23_1751_g310,106.5693,1479,0,99.7295,1475,1477,1445,0.4423,84,90.01,2922,102.3980846,1.479,69.23467522,
NODE_285_length_1793_cov_159.068182_1_1641_g321,P450_36,0,NODE_285_length_1793_cov_159.068182_1_1641_g321,463.1477,1368,0,99.8538,1366,6552,5187,0.4412,247,493.54,11739,411.3795741,1.368,300.716063,
NODE_288_length_1784_cov_51.327242_1_1784_g324,20DD_Contig_9617,0.21,NODE_288_length_1784_cov_51.327242_1_1784_g324,176.8297,1521,0,100,1521,2406,2578,0.5148,129,147.79,4984,174.6584715,1.521,114.8313422,
NODE_289_length_1784_cov_30.993147_212_1784_g325,20DD_coca-20110131_11729,0.32,NODE_289_length_1784_cov_30.993147_212_1784_g325,66.0309,1455,0,99.9313,1454,992,799,0.45,55,42.91,1791,62.76350773,1.455,43.13643143,
NODE_302_length_1773_cov_19.752874_1_1717_g338,P450_30,0.025,NODE_302_length_1773_cov_19.752874_1_1717_g338,51.1322,1543,0,100,1543,819,646,0.4308,35,42.01,1465,51.33921766,1.543,33.27233808,
NODE_307_length_1767_cov_20.065167_1_1721_g344,20DD_coca-20110131_6665,0.064,NODE_307_length_1767_cov_20.065167_1_1721_g344,48.8486,1473,0,99.8642,1471,733,600,0.4594,38,40.44,1333,46.7134315,1.473,31.71312389,
NODE_312_length_1762_cov_41.947368_44_1710_g349,P450_31,0,NODE_312_length_1762_cov_41.947368_44_1710_g349,107.24,1350,0,99.7037,1346,1374,1319,0.4603,79,76.09,2693,94.37304653,1.35,69.90596039,
NODE_318_length_1758_cov_25.626667_126_1751_g355,20DD_NODE_3560_length_1408_cov_14.756364,0.16,NODE_318_length_1758_cov_25.626667_126_1751_g355,113.6407,1389,0,99.424,1381,1565,1360,0.5205,79,108.45,2925,102.5032161,1.389,73.79641191,
NODE_319_length_1758_cov_24.187246_1_1692_g356,20DD_coca-20110131_4904,0.082,NODE_319_length_1758_cov_24.187246_1_1692_g356,70.7986,1410,0,99.2199,1399,1009,840,0.4531,66,43.83,1849,64.79605014,1.41,45.95464549,
NODE_324_length_1750_cov_37.207338_1_1701_g362,P450_43,0,NODE_324_length_1750_cov_37.207338_1_1701_g362,99.0856,1530,0,99.9346,1529,1438,1371,0.4484,72,101.23,2809,98.43813134,1.53,64.33864793,
NODE_327_length_1749_cov_56.592657_1_1689_g365,P450_20,0,NODE_327_length_1749_cov_56.592657_1_1689_g365,145.6315,1566,0,100,1566,2376,1857,0.4231,121,92.72,4233,148.3405518,1.566,94.72576742,
NODE_339_length_1737_cov_19.630282_154_1691_g377,P450_40,0.083,NODE_339_length_1737_cov_19.630282_154_1691_g377,56.965,1257,0,99.6818,1253,676,650,0.4281,53,36.58,1326,46.46812465,1.257,36.96748182,
NODE_346_length_1734_cov_17.833627_1_1685_g384,P450_6,0.074,NODE_346_length_1734_cov_17.833627_1_1685_g384,39.3653,1188,0,98.9899,1176,457,410,0.519,32,32.15,867,30.38300458,1.188,25.57491968,
NODE_352_length_1729_cov_19.627948_1_1729_g390,20DD_coca-20110131_1706,0.03,NODE_352_length_1729_cov_19.627948_1_1729_g390,50.6325,1619,0,99.9382,1618,810,710,0.454,42,37.52,1520,53.26662856,1.619,32.90094414,
NODE_363_length_1722_cov_26.005921_1_1671_g402,20DD_coca-20110131_3904,0.047,NODE_363_length_1722_cov_26.005921_1_1671_g402,83.943,1035,0,98.4541,1019,834,775,0.4559,54,75.81,1609,56.38552984,1.035,54.47877279,
NODE_367_length_1718_cov_84.062315_40_1631_g406,P450_34,0,NODE_367_length_1718_cov_84.062315_40_1631_g406,211.8015,1365,0,99.5604,1359,2967,2389,0.4652,197,124.95,5356,187.694778,1.365,137.5053319,
NODE_369_length_1717_cov_35.621734_1_1537_g408,struc_cocaine_synthase_AGT56097,5.00E-32,NODE_369_length_1717_cov_35.621734_1_1537_g408,97.7214,1339,0,99.9253,1338,1277,1149,0.5677,62,112.67,2426,85.01634269,1.339,63.49241426,
NODE_375_length_1713_cov_71.301190_24_1661_g414,20DD_coca-20110131_11584,0.024,NODE_375_length_1713_cov_71.301190_24_1661_g414,183.7224,1470,0,99.7959,1467,2901,2111,0.4882,136,152.28,5012,175.6396989,1.47,119.4827884,
